count,latency
1,158.196
2,164.622
3,170.851
4,130.745
5,142.721
6,145.259
7,152.767
8,131.167
9,140.219
10,141.165
11,142.184
12,120.521
13,141.364
14,131.174
15,139.592
16,146.651
17,165.65
18,134.742
19,141.887
20,130.743
21,153.292
22,130.712
23,131.834
24,120.484
25,147.908
26,141.392
27,142.721
28,131.501
29,139.13
30,144.525
31,151.722
32,120.325
33,139.041
34,131.717
35,153.13
36,120.311
37,130.779
38,131.901
39,132.162
40,134.198
41,139.831
42,130.729
43,151.038
44,140.714
45,169.883
46,143.175
47,164.352
48,142.306
49,148.298
50,141.24
51,143.865
52,142.036
53,158.188
54,143.31
55,154.416
56,139.979
57,142.83
58,157.257
59,158.614
60,150.233
61,152.865
62,133.211
63,158.65
64,144.72
65,148.558
66,144.008
67,154.367
68,141.673
69,154.183
70,131.278
71,135.074
72,130.411
73,143.16
74,130.61
75,150.84
76,121.161
77,132.158
78,132.522
79,143.03
80,134.504
81,148.852
82,145.059
83,150.632
84,129.815
85,132.155
86,140.025
87,144.056
88,142.175
89,139.661
90,120.507
91,151.235
92,138.655
93,142.622
94,130.628
95,181.247
96,130.902
97,132.33
98,148.548
99,151.613
100,133.732
101,147.912
102,149.441
103,243.654
104,134.764
105,140.962
106,140.74
107,196.199
108,133.447
109,135.007
110,131.963
111,153.626
112,140.797
113,142.363
114,152.569
115,173.688
116,139.181
117,159.878
118,130.623
119,156.131
120,130.565
121,175.93
122,151.93
123,155.548
124,140.308
125,141.776
126,141.144
127,143.84
128,135.291
129,149.917
130,139.928
131,149.111
132,130.989
133,151.168
134,131.903
135,140.966
136,121.352
137,131.178
138,120.609
139,158.884
140,120.363
141,134.106
142,144.177
143,159.282
144,130.529
145,131.234
146,132.208
147,139.932
148,143.723
149,162.7
150,140.822
151,141.221
152,134.148
153,140.571
154,131.653
155,143.232
156,143.397
157,160.491
158,131.939
159,137.705
160,130.944
161,141.847
162,120.412
163,131.251
164,134.409
165,139.982
166,158.982
167,175.885
168,131.676
169,139.775
170,132.433
171,155.182
172,120.688
173,151.089
174,141.358
175,148.943
176,132.595
177,152.628
178,130.668
179,161.526
180,140.328
181,171.792
182,145.909
183,145.442
184,139.815
185,153.511
186,121.062
187,150.367
188,130.383
189,151.604
190,132.278
191,142.399
192,148.149
193,150.578
194,144.848
195,153.178
196,144.262
197,164.568
198,141.715
199,143.465
200,139.724
201,152.055
202,120.745
203,129.771
204,151.741
205,155.256
206,141.323
207,144.969
208,132.692
209,144.271
210,139.67
211,153.459
212,140.209
213,183.953
214,120.377
215,142.013
216,131.375
