count,latency
1,147.574
2,131.05
3,159.331
4,129.861
5,131.78
6,130.363
7,139.77
8,129.779
9,141.312
10,120.106
11,142.495
12,142.198
13,157.222
14,131.36
15,154.496
16,130.91
17,142.154
18,120.028
19,149.802
20,143.291
21,152.778
22,130.706
23,138.467
24,140.955
25,149.521
26,129.665
27,158.063
28,129.903
29,130.207
30,130.178
31,140.295
32,141.048
33,154.629
34,130.443
35,153.213
36,139.382
37,140.464
38,130.33
39,144.763
40,142.189
41,150.826
42,141.92
43,160.55
44,141.158
45,143.355
46,129.536
47,133.606
48,131.31
49,141.137
50,145.021
51,150.601
52,120.389
53,140.377
54,151.308
